Capabilities,SubCapability,TEBStatus,NameofTools,Version,ToolDescription,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,MetaTags,MetaTagsDescription,CapabilityManager
Identity,MFA,Approved,Duo Security,2026.01,Multi-factor authentication for privileged and workforce access.,"Approved for new solutions under Identity / MFA. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Cisco,Allowed,EA-STD-0061,mfa;sso;conditional-access;iam;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Identity,Privileged Access,Approved,CyberArk PAM,13.2,"Privileged access management for vaulting, rotation, and session controls.","Approved for new solutions under Identity / Privileged Access. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",CyberArk,Standard,EA-STD-0062,pam;privileged;rotation;audit;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Identity,Directory Services,Approved,Active Directory,2026.01,"Directory services for identity, group policy, and legacy compatibility.","Approved for new solutions under Identity / Directory Services. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0063,directory;ldap;kerberos;identity;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Identity,IGA,Conditional,SailPoint IdentityIQ,8.4,Identity governance and administration for joiner/mover/leaver processes.,"Conditionally allowed for Identity / IGA when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,SailPoint,Restricted,EA-STD-0064,iga;provisioning;access-reviews;compliance;audit,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,CI/CD,Approved,Azure DevOps Pipelines,2026.01,"CI/CD pipelines with approvals, gates, and integrations.","Approved for new solutions under DevOps / CI/CD. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0065,cicd;pipelines;automation;gates;artifact,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,CI/CD,Approved,GitHub Actions,2026.01,Workflow automation for build/test/deploy with reusable actions.,"Approved for new solutions under DevOps / CI/CD. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",GitHub,Strategic,EA-STD-0066,cicd;automation;gitops;security;pipelines,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,CI/CD,Deprecated,Jenkins,2.452.3,Self-hosted CI automation platform for legacy pipelines.,Deprecated for net-new use under DevOps / CI/CD. Existing deployments may continue for sustainment only. Submit a migration plan to the strategic/approved alternative within 12–18 months and track as technical debt.,"ARB: Do not approve for new projects. For existing use, require target decommission date and migration milestones.",Jenkins Community,Sunset,EA-STD-0067,cicd;legacy;pipelines;automation;migration,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,IaC,Approved,Terraform,1.8.5,Infrastructure as code for multi-cloud provisioning with modules.,"Approved for new solutions under DevOps / IaC. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",HashiCorp,Strategic,EA-STD-0068,iac;automation;modules;policy-as-code;cloud,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,IaC,Conditional,Azure Bicep,0.30.3,Infrastructure as code for Azure-native deployments.,"Conditionally allowed for DevOps / IaC when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Microsoft,Allowed,EA-STD-0069,iac;azure;templates;automation;policy-as-code,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,Source Control,Approved,GitHub Enterprise,3.13,Enterprise Git hosting with security controls and compliance features.,"Approved for new solutions under DevOps / Source Control. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",GitHub,Strategic,EA-STD-0070,source-control;git;security;compliance;audit,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,Source Control,Conditional,Azure Repos,2026.01,Git repositories within Azure DevOps for constrained use cases.,"Conditionally allowed for DevOps / Source Control when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Microsoft,Allowed,EA-STD-0071,source-control;git;devops;audit;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,Container Registry,Approved,Azure Container Registry,2026.01,Private container registry with scanning integrations and policies.,"Approved for new solutions under DevOps / Container Registry. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0072,containers;registry;supply-chain;cicd;security,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,Artifacts/Packages,Approved,JFrog Artifactory,7.77,Artifact repository for binaries and packages with promotion workflows.,"Approved for new solutions under DevOps / Artifacts/Packages. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",JFrog,Standard,EA-STD-0073,artifact;packages;promotion;cicd;supply-chain,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
DevOps,Secrets in CI/CD,Conditional,GitHub OIDC,2026.01,OIDC-based workload identity for CI/CD to avoid long-lived secrets.,"Conditionally allowed for DevOps / Secrets in CI/CD when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,GitHub,Allowed,EA-STD-0074,oidc;workload-identity;cicd;iam;secretsless,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Metrics,Approved,Prometheus,2.51.1,Metrics collection and alerting for services and platforms.,"Approved for new solutions under Observability / Metrics. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",CNCF,Strategic,EA-STD-0075,metrics;alerting;sre;slos;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Dashboards,Approved,Grafana,11.1,Visualization and dashboards for metrics and logs sources.,"Approved for new solutions under Observability / Dashboards. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Grafana Labs,Standard,EA-STD-0076,dashboards;metrics;logs;observability;sre,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Logs,Approved,Elastic Observability,8.14,"Centralized log ingestion, search, and retention for audit needs.","Approved for new solutions under Observability / Logs. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Elastic,Standard,EA-STD-0077,logs;search;retention;audit;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,APM,Approved,Datadog APM,2026.01,Application performance monitoring with tracing and metrics correlation.,"Approved for new solutions under Observability / APM. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Datadog,Allowed,EA-STD-0078,apm;tracing;metrics;sre;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Tracing,Approved,OpenTelemetry,1.10.0,"Instrumentation standard for traces, metrics, and logs.","Approved for new solutions under Observability / Tracing. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",CNCF,Strategic,EA-STD-0079,traces;metrics;logs;instrumentation;standards,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Alerting,Approved,PagerDuty,2026.01,On-call alerting and incident escalation workflows.,"Approved for new solutions under Observability / Alerting. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",PagerDuty,Allowed,EA-STD-0080,alerting;oncall;incident;sre;slos,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Cloud Monitoring,Conditional,AWS CloudWatch,2026.01,Cloud-native metrics/logs/alarms for AWS services.,"Conditionally allowed for Observability / Cloud Monitoring when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Amazon Web Services,Allowed,EA-STD-0081,metrics;logs;alarms;cloud;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Observability,Cloud Monitoring,Approved,Azure Monitor,2026.01,Cloud-native monitoring and alerts for Azure resources and apps.,"Approved for new solutions under Observability / Cloud Monitoring. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0082,metrics;logs;alerts;cloud;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,DNS,Approved,Azure DNS,2026.01,Managed DNS for enterprise zones and records in Azure.,"Approved for new solutions under Networking / DNS. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0083,dns;networking;zones;zero-trust;availability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,DNS,Conditional,Amazon Route 53,2026.01,Managed DNS and traffic routing for AWS-hosted domains.,"Conditionally allowed for Networking / DNS when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Amazon Web Services,Allowed,EA-STD-0084,dns;networking;routing;availability;cloud,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,Load Balancing,Approved,Azure Application Gateway,2026.01,Layer 7 load balancer with WAF and routing rules.,"Approved for new solutions under Networking / Load Balancing. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0085,load-balancer;waf;tls;routing;networking,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,Load Balancing,Conditional,F5 BIG-IP,17.1,Enterprise load balancing for specific legacy or appliance-required use cases.,"Conditionally allowed for Networking / Load Balancing when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,F5,Allowed,EA-STD-0086,load-balancer;adc;tls;legacy;networking,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,VPN,Approved,OpenVPN Access Server,2.13,Secure VPN access for remote connectivity and controlled ingress.,"Approved for new solutions under Networking / VPN. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",OpenVPN Inc.,Allowed,EA-STD-0087,vpn;remote-access;encryption;networking;zero-trust,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,Network Security,UnderReview,Palo Alto NGFW,11.1,"Next-gen firewall for segmentation, inspection, and threat prevention.",Under review for Networking / Network Security. Allowed for evaluation/pilot only. Production use requires an approved exception and re-review.,ARB: Allow non-production pilots only with success criteria and rollback plan. Re-review prior to production.,Palo Alto Networks,Restricted,EA-STD-0088,firewall;segmentation;threat-prevention;zero-trust;networking,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Networking,Zero Trust Network,Conditional,Zscaler Internet Access,2026.01,Cloud security service edge for secure internet access and policy enforcement.,"Conditionally allowed for Networking / Zero Trust Network when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Zscaler,Allowed,EA-STD-0089,zero-trust;sase;proxy;policy;networking,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
End-User Computing,Device Management,Approved,Microsoft Intune,2026.01,"Endpoint configuration, compliance, and application management.","Approved for new solutions under End-User Computing / Device Management. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0090,endpoint;mdm;compliance;security;device,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
End-User Computing,Email,Approved,Microsoft Exchange Online,Service,Enterprise email and calendaring service.,"Approved for new solutions under End-User Computing / Email. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0091,email;productivity;compliance;retention;security,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
End-User Computing,VDI,Approved,Azure Virtual Desktop,2026.01,Virtual desktop infrastructure for secure remote workstations.,"Approved for new solutions under End-User Computing / VDI. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0092,vdi;endpoint;security;access;productivity,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
End-User Computing,Office Productivity,Approved,Microsoft 365 Apps,2026.01,Productivity suite for end-user document creation and collaboration.,"Approved for new solutions under End-User Computing / Office Productivity. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0093,productivity;office;collaboration;security;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Collaboration,Messaging & Meetings,Approved,Microsoft Teams,2026.01,"Enterprise collaboration for chat, meetings, and calling.","Approved for new solutions under Collaboration / Messaging & Meetings. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0094,collaboration;chat;meetings;calling;productivity,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Collaboration,Enterprise Chat,Approved,Slack Enterprise Grid,2026.01,Enterprise chat platform with compliance and retention capabilities.,"Approved for new solutions under Collaboration / Enterprise Chat. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Salesforce,Allowed,EA-STD-0095,collaboration;chat;retention;integrations;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Collaboration,Knowledge Base,Approved,Confluence,2026.01,Knowledge management for documentation and team spaces.,"Approved for new solutions under Collaboration / Knowledge Base. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Atlassian,Allowed,EA-STD-0096,knowledge;documentation;collaboration;retention;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Collaboration,Video Conferencing,Conditional,Zoom,2026.01,Video conferencing where required for external collaboration constraints.,"Conditionally allowed for Collaboration / Video Conferencing when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Zoom Video Communications,Allowed,EA-STD-0097,meetings;video;collaboration;retention;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
ERP/CRM,ERP,Approved,SAP S/4HANA,2023 FPS02,Enterprise ERP platform for core finance and operations.,"Approved for new solutions under ERP/CRM / ERP. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",SAP,Strategic,EA-STD-0098,erp;finance;master-data;integration;governance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
ERP/CRM,ERP,Conditional,Oracle Fusion Cloud ERP,24C,Cloud ERP alternative for specific acquisitions or regional requirements.,"Conditionally allowed for ERP/CRM / ERP when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Oracle,Allowed,EA-STD-0099,erp;finance;cloud;integration;master-data,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
ERP/CRM,CRM,Approved,Salesforce Sales Cloud,2026.01,CRM platform for sales processes and customer engagement.,"Approved for new solutions under ERP/CRM / CRM. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Salesforce,Strategic,EA-STD-0100,crm;sales;integration;governance;customer,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
